BOARD SERIAL NUMBER: 9e12fd528fb2ed119ea44eaca7669f5d
USB SERIAL PORT: /dev/cu.usbserial-130
timestamp,sensor_name,depth,depth_units,VWC,raw_line
2026-05-01T15:59:02,sensor_3,12,inch,0.141694,"Status code: 0; addr = 0; vwcRaw: 2158.530029; temp: 30.000000; ec: 46; vwcPercentMineralizedSoils: 0.141694"
2026-05-01T15:59:10,sensor_3,12,inch,0.141356,"Status code: 0; addr = 0; vwcRaw: 2157.659912; temp: 30.000000; ec: 44; vwcPercentMineralizedSoils: 0.141356"
2026-05-01T15:59:18,sensor_3,12,inch,0.141473,"Status code: 0; addr = 0; vwcRaw: 2157.959961; temp: 30.000000; ec: 46; vwcPercentMineralizedSoils: 0.141473"
2026-05-01T15:59:25,sensor_3,12,inch,0.141271,"Status code: 0; addr = 0; vwcRaw: 2157.439941; temp: 29.900000; ec: 45; vwcPercentMineralizedSoils: 0.141271"
2026-05-01T15:59:33,sensor_3,12,inch,0.141833,"Status code: 0; addr = 0; vwcRaw: 2158.889893; temp: 29.900000; ec: 45; vwcPercentMineralizedSoils: 0.141833"
2026-05-01T15:59:40,sensor_3,12,inch,0.149324,"Status code: 0; addr = 0; vwcRaw: 2178.199951; temp: 29.900000; ec: 61; vwcPercentMineralizedSoils: 0.149324"
2026-05-01T15:59:48,sensor_3,12,inch,0.148393,"Status code: 0; addr = 0; vwcRaw: 2175.800049; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.148393"
2026-05-01T15:59:55,sensor_3,12,inch,0.148812,"Status code: 0; addr = 0; vwcRaw: 2176.879883; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.148812"
2026-05-01T16:00:03,sensor_3,12,inch,0.148335,"Status code: 0; addr = 0; vwcRaw: 2175.649902; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.148335"
2026-05-01T16:00:11,sensor_3,12,inch,0.148622,"Status code: 0; addr = 0; vwcRaw: 2176.389893; temp: 29.900000; ec: 60; vwcPercentMineralizedSoils: 0.148622"
2026-05-01T16:00:18,sensor_3,12,inch,0.148994,"Status code: 0; addr = 0; vwcRaw: 2177.350098; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.148994"
2026-05-01T16:00:26,sensor_3,12,inch,0.148389,"Status code: 0; addr = 0; vwcRaw: 2175.790039; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.148389"
2026-05-01T16:00:33,sensor_3,12,inch,0.149072,"Status code: 0; addr = 0; vwcRaw: 2177.550049; temp: 29.900000; ec: 62; vwcPercentMineralizedSoils: 0.149072"
2026-05-01T16:00:41,sensor_3,12,inch,0.148211,"Status code: 0; addr = 0; vwcRaw: 2175.330078; temp: 29.900000; ec: 63; vwcPercentMineralizedSoils: 0.148211"
